id,workload,iteration,cluster,number_of_cores,total_time,%time,%running_time
1,gmail,3,1,2,1.2,2.3,19.4
1,gmail,3,1,3,-0.3,-0.5,-4.1
1,gmail,3,1,4,1.5,3.0,24.5
1,gmail,3,all,0,28.1,54.2,0.0
1,gmail,3,all,1,11.9,22.9,50.1
1,gmail,3,all,2,5.7,10.9,23.9
1,gmail,3,all,3,2.2,4.2,9.3
1,gmail,3,all,4,3.3,6.3,13.8
1,gmail,3,all,5,0.5,1.0,2.2
1,gmail,3,all,6,0.1,0.3,0.6
1,gmail,3,all,7,0.0,0.1,0.2
1,gmail,3,all,8,0.0,0.0,0.1
1,gmail,4,0,0,30.9,59.7,0.0
1,gmail,4,0,1,12.1,23.3,57.8
1,gmail,4,0,2,4.9,9.5,23.5
1,gmail,4,0,3,2.3,4.4,10.8
1,gmail,4,0,4,1.6,3.2,7.9
1,gmail,4,1,0,45.9,88.6,0.0
1,gmail,4,1,1,3.6,6.9,60.4
1,gmail,4,1,2,1.1,2.1,18.4
1,gmail,4,1,3,0.6,1.1,10.0
1,gmail,4,1,4,0.7,1.3,11.3
1,gmail,4,all,0,27.6,53.2,0.0
1,gmail,4,all,1,12.6,24.4,52.2
1,gmail,4,all,2,5.7,11.1,23.7
1,gmail,4,all,3,3.0,5.7,12.3
1,gmail,4,all,4,2.2,4.2,9.0
1,gmail,4,all,5,0.5,1.0,2.1
1,gmail,4,all,6,0.1,0.2,0.5
1,gmail,4,all,7,0.0,0.1,0.2
1,gmail,4,all,8,0.0,0.0,0.1
1,gmail,5,0,0,31.9,61.5,0.0
1,gmail,5,0,1,11.6,22.4,58.2
1,gmail,5,0,2,4.7,9.1,23.7
1,gmail,5,0,3,2.1,4.0,10.4
1,gmail,5,0,4,1.5,3.0,7.7
1,gmail,5,1,0,45.8,88.3,0.0
1,gmail,5,1,1,3.6,6.9,59.3
1,gmail,5,1,2,1.2,2.3,19.5
1,gmail,5,1,3,0.6,1.2,10.0
1,gmail,5,1,4,0.7,1.3,11.1
1,gmail,5,all,0,28.4,54.8,0.0
1,gmail,5,all,1,12.2,23.6,52.1
1,gmail,5,all,2,5.6,10.9,24.1
1,gmail,5,all,3,2.8,5.3,11.8
1,gmail,5,all,4,2.1,4.0,8.9
1,gmail,5,all,5,0.5,1.0,2.2
1,gmail,5,all,6,0.1,0.2,0.6
1,gmail,5,all,7,0.0,0.1,0.2
1,gmail,5,all,8,0.0,0.0,0.1
1,gmail,6,0,0,30.7,59.3,0.0
1,gmail,6,0,1,12.2,23.6,57.9
1,gmail,6,0,2,4.0,7.8,19.1
1,gmail,6,0,3,3.2,6.2,15.2
1,gmail,6,0,4,1.7,3.2,7.8
1,gmail,6,1,0,45.6,88.2,0.0
1,gmail,6,1,1,3.7,7.2,60.9
1,gmail,6,1,2,1.1,2.2,18.5
1,gmail,6,1,3,0.6,1.1,9.5
1,gmail,6,1,4,0.7,1.3,11.1
1,gmail,6,all,0,27.4,52.9,0.0
1,gmail,6,all,1,12.6,24.4,51.8
1,gmail,6,all,2,4.9,9.6,20.3
1,gmail,6,all,3,3.9,7.5,15.9
1,gmail,6,all,4,2.2,4.2,8.9
1,gmail,6,all,5,0.6,1.1,2.3
1,gmail,6,all,6,0.1,0.3,0.6
1,gmail,6,all,7,0.0,0.1,0.2
1,gmail,6,all,8,0.0,0.0,0.1
1,gmail,7,0,0,30.0,57.8,0.0
1,gmail,7,0,1,12.5,24.1,57.2
1,gmail,7,0,2,5.1,9.8,23.3
1,gmail,7,0,3,2.4,4.7,11.1
1,gmail,7,0,4,1.8,3.5,8.4
1,gmail,7,1,0,46.0,88.5,0.0
1,gmail,7,1,1,3.6,6.9,60.1
1,gmail,7,1,2,1.1,2.1,18.1
1,gmail,7,1,3,0.6,1.2,10.5
1,gmail,7,1,4,0.7,1.3,11.3
1,gmail,7,all,0,26.8,51.5,0.0
1,gmail,7,all,1,12.9,24.9,51.4
1,gmail,7,all,2,6.0,11.5,23.7
1,gmail,7,all,3,3.2,6.1,12.6
1,gmail,7,all,4,2.4,4.6,9.4
1,gmail,7,all,5,0.5,1.0,2.2
1,gmail,7,all,6,0.1,0.2,0.5
1,gmail,7,all,7,0.0,0.1,0.2
1,gmail,7,all,8,0.0,0.0,0.1
1,gmail,8,0,0,31.7,60.6,0.0
1,gmail,8,0,1,12.2,23.2,58.9
1,gmail,8,0,2,4.9,9.3,23.7
1,gmail,8,0,3,2.1,4.0,10.2
1,gmail,8,0,4,1.5,2.8,7.2
1,gmail,8,1,0,46.5,88.8,0.0
1,gmail,8,1,1,3.5,6.7,59.5
1,gmail,8,1,2,1.1,2.1,18.8
1,gmail,8,1,3,0.6,1.2,10.9
1,gmail,8,1,4,0.6,1.2,10.7
1,gmail,8,all,0,28.4,54.2,0.0
1,gmail,8,all,1,12.7,24.3,53.0
1,gmail,8,all,2,5.8,11.1,24.2
1,gmail,8,all,3,2.8,5.3,11.6
1,gmail,8,all,4,2.0,3.8,8.4
1,gmail,8,all,5,0.5,0.9,2.1
1,gmail,8,all,6,0.1,0.2,0.5
1,gmail,8,all,7,0.0,0.1,0.2
1,gmail,8,all,8,0.0,0.0,0.1
1,gmail,9,0,0,31.6,61.0,0.0
1,gmail,9,0,1,11.7,22.6,57.9
1,gmail,9,0,2,4.8,9.2,23.6
1,gmail,9,0,3,2.2,4.2,10.7
1,gmail,9,0,4,1.6,3.1,7.9
1,gmail,9,1,0,45.8,88.4,0.0
1,gmail,9,1,1,3.5,6.8,58.7
1,gmail,9,1,2,1.2,2.4,20.2
1,gmail,9,1,3,0.6,1.2,10.1
1,gmail,9,1,4,0.7,1.3,10.9
1,gmail,9,all,0,28.2,54.5,0.0
1,gmail,9,all,1,12.2,23.6,51.8
1,gmail,9,all,2,5.7,10.9,24.0
1,gmail,9,all,3,2.8,5.5,12.0
1,gmail,9,all,4,2.2,4.2,9.1
1,gmail,9,all,5,0.5,1.0,2.2
1,gmail,9,all,6,0.1,0.3,0.6
1,gmail,9,all,7,0.0,0.1,0.2
1,gmail,9,all,8,0.0,0.0,0.1
1,gmail,10,0,0,31.0,59.1,0.0
1,gmail,10,0,1,12.5,23.8,58.1
1,gmail,10,0,2,5.0,9.5,23.2
1,gmail,10,0,3,2.3,4.4,10.6
1,gmail,10,0,4,1.7,3.3,8.1
1,gmail,10,1,0,46.1,87.8,0.0
1,gmail,10,1,1,3.9,7.4,60.9
1,gmail,10,1,2,1.2,2.3,18.6
1,gmail,10,1,3,0.6,1.2,9.8
1,gmail,10,1,4,0.7,1.3,10.7
1,gmail,10,all,0,27.5,52.4,0.0
1,gmail,10,all,1,13.2,25.1,52.7
1,gmail,10,all,2,5.7,10.9,22.9
1,gmail,10,all,3,3.0,5.7,12.0
1,gmail,10,all,4,2.3,4.4,9.2
1,gmail,10,all,5,0.6,1.2,2.5
1,gmail,10,all,6,0.1,0.3,0.6
1,gmail,10,all,7,0.0,0.1,0.1
1,gmail,10,all,8,0.0,0.0,0.0
