id,workload,iteration,cluster,number_of_cores,total_time,%time,%running_time
1,gmail,1,0,0,30.7,59.9,0.0
1,gmail,1,0,1,12.0,23.4,58.4
1,gmail,1,0,2,4.8,9.4,23.6
1,gmail,1,0,3,2.2,4.3,10.6
1,gmail,1,0,4,1.5,3.0,7.4
1,gmail,1,1,0,45.0,88.0,0.0
1,gmail,1,1,1,3.8,7.4,61.9
1,gmail,1,1,2,1.1,2.1,17.5
1,gmail,1,1,3,0.6,1.1,9.5
1,gmail,1,1,4,0.7,1.3,11.1
1,gmail,1,all,0,27.3,53.3,0.0
1,gmail,1,all,1,12.5,24.5,52.5
1,gmail,1,all,2,5.7,11.2,23.9
1,gmail,1,all,3,2.9,5.6,12.0
1,gmail,1,all,4,2.1,4.0,8.6
1,gmail,1,all,5,0.5,1.0,2.1
1,gmail,1,all,6,0.1,0.3,0.6
1,gmail,1,all,7,0.0,0.1,0.2
1,gmail,1,all,8,0.0,0.0,0.1
1,gmail,2,0,0,31.0,59.9,0.0
1,gmail,2,0,1,12.0,23.2,57.8
1,gmail,2,0,2,4.8,9.3,23.3
1,gmail,2,0,3,3.1,6.0,15.0
1,gmail,2,0,4,0.8,1.6,3.9
1,gmail,2,1,0,45.9,88.7,0.0
1,gmail,2,1,1,3.5,6.7,59.3
1,gmail,2,1,2,1.2,2.3,19.9
1,gmail,2,1,3,0.6,1.2,10.6
1,gmail,2,1,4,0.6,1.2,10.2
1,gmail,2,all,0,27.7,53.5,0.0
1,gmail,2,all,1,12.6,24.3,52.2
1,gmail,2,all,2,5.7,11.0,23.7
1,gmail,2,all,3,3.8,7.3,15.8
1,gmail,2,all,4,1.3,2.5,5.3
1,gmail,2,all,5,0.6,1.1,2.3
1,gmail,2,all,6,0.1,0.2,0.5
1,gmail,2,all,7,0.0,0.1,0.1
1,gmail,2,all,8,0.0,0.0,0.0
1,gmail,3,0,0,31.6,60.9,0.0
1,gmail,3,0,1,11.3,21.7,55.7
1,gmail,3,0,2,4.9,9.4,24.0
1,gmail,3,0,3,2.3,4.4,11.3
1,gmail,3,0,4,1.8,3.5,9.0
1,gmail,3,1,0,45.6,87.9,0.0
1,gmail,3,1,1,3.8,7.3,60.1
